GEO_NAME,% vaccinated,Low income,% visible minority,% manufacturing,% wholesale trade,% transportation and warehousing,% retail trade,% information and cultural industries,% construction,% education services,% health care and social services,% accommodation and food services,% english nor french,median individual income,average individual income,income - % in bottom decile,income - % in top decile,average age,median age,population,% commuting by car or truck as driver,% commuting by car or truck as passenger,% commuting by vehicle,% commuting by public transit,% commuting by walking,% commuting by bicycle,% commuting by other method,% leaving for work between 5am and 6am,% leaving for work between 6am and 7am,% leaving for work between 7am and 8am,% leaving for work between 8am and 9am,% leaving for work between 9am and 12pm,% leaving for work between 12pm and 5am,% first generation immigrants,% second generation immigrants,% third generation or more immigrants
K0A,0.22,0.067,0.027539569755476064,0.04677772168938247,0.030035335689045935,0.03996298165909473,0.10062258118795221,0.020360087497896685,0.11980481238431769,0.07109204105670537,0.10180043748948342,0.039794716473161705,0.0012687259064070658,44898.0,53625.0,0.04284523751164273,0.13770282857002794,41.1,43.6,103474.0,0.8648807771563144,0.06064174271415955,0.06064174271415955,0.03650279658522226,0.0242370719262094,0.0033362771072514962,0.010303208713570797,0.10057894220390541,0.28515356687273086,0.2873123344127171,0.1556275144735551,0.06986556765773722,0.10156020017662644,0.07159308080560592,0.11241240750722792,0.8159945116871662
K0B,0.19,0.132,0.017064846416382253,0.11131059245960502,0.033662477558348294,0.05430879712746858,0.11265709156193895,0.008976660682226212,0.09919210053859964,0.07405745062836624,0.11400359066427289,0.04488330341113106,0.000969227041434456,33456.0,41079.0,0.076904296875,0.065185546875,45.0,49.0,20945.0,0.9017905588714054,0.04286489419424851,0.04286489419424851,0.011394465545306565,0.032013022246337494,0.0016277807921866521,0.009766684753119913,0.14060803474484257,0.21498371335504887,0.30564603691639525,0.15092290988056462,0.06623235613463627,0.12052117263843648,0.05826426133593369,0.07142857142857142,0.8705509507557289
K0C,0.21,0.12300000000000001,0.01613691931540342,0.0995225853837679,0.040763863385971356,0.05986044803525523,0.11053984575835475,0.009364671318398824,0.09585016525890562,0.06353286816011752,0.12688211531399193,0.05269922879177378,0.00038812342324859306,34554.0,42023.0,0.06948109058927,0.06860158311345646,44.3,47.9,52154.0,0.8918032786885246,0.049398907103825135,0.049398907103825135,0.01092896174863388,0.03475409836065574,0.0045901639344262295,0.008524590163934427,0.12087431693989072,0.25224043715846994,0.26229508196721313,0.1490710382513661,0.06098360655737705,0.15431693989071038,0.06504303599374021,0.10974178403755869,0.8252151799687011
K0E,0.21,0.122,0.011400440471563675,0.10489684315187671,0.03107133979617201,0.058165548098434,0.1215510812826249,0.013174248073576932,0.09967685806611981,0.049714143673875215,0.11583395476012925,0.05741983594332588,0.0005167958656330749,33947.0,41282.0,0.0733885581154543,0.06044524980585037,44.8,48.7,38903.0,0.8930400723109371,0.054835793913829464,0.054835793913829464,0.005423320277191925,0.0346489906598373,0.0027116601385959627,0.008737571557698103,0.10183790298282615,0.26272973787285325,0.27869840313347394,0.15757758360952093,0.06417595661343778,0.13467912021693282,0.06698626587198755,0.12412542109354754,0.8088883130344648
K0G,0.23,0.10400000000000001,0.014802631578947368,0.06142379850938062,0.028527370855821126,0.0429195579542534,0.1156515034695451,0.01644821382677975,0.11462349010537137,0.0642508352608584,0.11847854022102287,0.06013878180416345,0.0006797172376291463,37802.0,46516.0,0.06427401746724891,0.09347707423580787,44.9,49.0,37097.0,0.8861864671032117,0.05706267539756782,0.05706267539756782,0.014343623323978797,0.03274087932647334,0.0015590894917368258,0.00841908325537886,0.10352354225132522,0.24758341128780792,0.27439975054568133,0.16308076083567197,0.08356719675709386,0.1278453383224197,0.07428728070175439,0.13048245614035087,0.7950932017543859
K0H,0.3,0.105,0.014045269878119559,0.05925585668350942,0.028020211299954065,0.03904455672944419,0.10932475884244373,0.007119889756545705,0.11598530087276068,0.08957280661460726,0.14101975195222782,0.04777216352779054,0.0005815305885089556,36685.0,45377.0,0.06416549789621319,0.08835904628330996,45.5,49.9,44019.0,0.903234649122807,0.05043859649122807,0.05043859649122807,0.010416666666666666,0.02631578947368421,0.0010964912280701754,0.00849780701754386,0.08801754867013985,0.2415684123937483,0.32300520976144775,0.1708253358925144,0.06635590896627365,0.1107759802577461,0.0771909460243761,0.13012188044109113,0.7929193267556587
K0J,0.24,0.145,0.025796661608497723,0.07371695178849144,0.017418351477449457,0.03452566096423017,0.10357698289269052,0.01026438569206843,0.10357698289269052,0.06220839813374806,0.12161741835147745,0.07278382581648522,0.0024045686804929365,31632.0,40584.0,0.0843062926459439,0.06413949962092494,46.0,50.6,33702.0,0.8640401699497876,0.05755117806102742,0.05755117806102742,0.005021243723445346,0.05639242950946311,0.008883738895326381,0.00772499034376207,0.09347238315952106,0.23870220162224798,0.28157589803012745,0.1749710312862109,0.07840865198918501,0.1332560834298957,0.07846410684474124,0.09652451054788283,0.8250113826073759
K0K,0.22,0.128,0.020613350472867505,0.11365517241379311,0.027310344827586208,0.04928735632183908,0.11659770114942529,0.011218390804597701,0.09857471264367816,0.06114942528735632,0.11990804597701149,0.06335632183908046,0.0015036908776086759,32410.0,41160.0,0.0816794243021497,0.060365769812531514,45.2,49.3,111372.0,0.8940775738929788,0.049994506098230966,0.049994506098230966,0.009119876936600374,0.03274365454345676,0.0037358532029447312,0.010548291396549829,0.09635245001098659,0.21555702043506922,0.2747747747747748,0.17523621182157767,0.08789277081960009,0.15018677213799164,0.08433569001928197,0.13180607841336883,0.7838123221008172
K0L,0.28,0.138,0.01893751329881552,0.07678491243825775,0.031133063912587935,0.04445442299057027,0.12632839395300105,0.012423289926657685,0.12228708277204012,0.0655590480466996,0.1197425535099536,0.06211644963328843,0.0009864017473402381,31430.0,41405.0,0.08559069635512694,0.06984824847539356,47.1,52.2,71343.0,0.8873782840345398,0.051993386000367445,0.051993386000367445,0.009186110600771633,0.040418886643395185,0.002204666544185192,0.008818666176740767,0.09351460591585523,0.20374793312511483,0.2662134852103619,0.20962704390960868,0.08653316185926879,0.14054749219180598,0.08355202496630967,0.12894531527058656,0.7875026597631037
K0M,0.31,0.141,0.015275784293623128,0.064993564993565,0.029815529815529814,0.04332904332904333,0.1314886314886315,0.015229515229515229,0.13792363792363793,0.0561990561990562,0.10617760617760617,0.06692406692406692,0.0014303228442991418,31382.0,41384.0,0.08802308802308802,0.06947021232735519,49.4,54.8,49388.0,0.8903462749213011,0.05430220356768101,0.05430220356768101,0.0076075550891920255,0.03698845750262329,0.0031479538300104933,0.007345225603357817,0.0844700944386149,0.18730325288562436,0.27518363064008394,0.20855194123819518,0.09207764952780692,0.1521511017838405,0.08733982573039467,0.15622757560225525,0.7564325986673501
