,measure,r-value,p-value,r squared,standard error
0,% vaccinated,1.00,0.000000,1.0,0.000000
1,Low income,-0.18,0.000036,0.03294655430476029,0.060382
2,% visible minority,-0.25,0.000000,0.06404706210964552,0.193393
3,% manufacturing,-0.19,0.000020,0.035007967300839056,0.044308
4,% wholesale trade,-0.08,0.056835,0.007094277583933949,0.011506
5,% transportation and warehousing,-0.26,0.000000,0.06784353583001991,0.016572
6,% retail trade,-0.01,0.855370,6.520423315576857e-05,0.017947
7,% information and cultural industries,-0.07,0.112929,0.0049196485901044605,0.012814
8,% construction,0.03,0.535792,0.0007522085132504275,0.025685
9,% education services,0.28,0.000000,0.07571040896244018,0.020153
10,% health care and social services,0.27,0.000000,0.07102766631239771,0.024469
11,% accommodation and food services,-0.07,0.104378,0.005162957428550258,0.018834
12,% english nor french,-0.18,0.000052,0.031630419119284166,0.021759
13,median individual income,0.19,0.000010,0.03747909475345366,6768.093075
14,average individual income,0.36,0.000000,0.12650074316293217,16184.627530
15,income - % in bottom decile,-0.17,0.000116,0.02872743454196711,0.048513
16,income - % in top decile,0.37,0.000000,0.13678021082194056,0.069881
17,average age,0.64,0.000000,0.40545992992818064,2.255692
18,median age,0.61,0.000000,0.36758583857224736,3.421896
19,population,-0.14,0.001902,0.018745929164388893,15729.203400
20,% commuting by car or truck as driver,0.06,0.168649,0.003712248361661213,0.148323
21,% commuting by car or truck as passenger,-0.16,0.000214,0.02653596904478755,0.014825
22,% commuting by vehicle,-0.16,0.000214,0.02653596904478755,0.014825
23,% commuting by public transit,-0.01,0.844916,7.509621815208568e-05,0.114775
24,% commuting by walking,-0.09,0.035460,0.008643286320439342,0.068693
25,% commuting by bicycle,0.01,0.889834,3.765630443398369e-05,0.017387
26,% commuting by other method,0.17,0.000090,0.029656676859983782,0.004733
27,% leaving for work between 5am and 6am,-0.18,0.000035,0.03303077135497096,0.026025
28,% leaving for work between 6am and 7am,-0.19,0.000020,0.03505222131806057,0.038008
29,% leaving for work between 7am and 8am,0.19,0.000012,0.037064540817370234,0.030474
30,% leaving for work between 8am and 9am,0.20,0.000007,0.0387021718488883,0.053109
31,% leaving for work between 9am and 12pm,0.11,0.010337,0.012823600394283633,0.033550
32,% leaving for work between 12pm and 5am,-0.24,0.000000,0.058775674515246575,0.033997
33,% first generation immigrants,-0.15,0.000972,0.021127317543921147,0.155854
34,% second generation immigrants,-0.07,0.090820,0.005597171842599255,0.059379
35,% third generation or more immigrants,0.13,0.002518,0.017755381242136287,0.203299
