FSA,"% Vaccinated 1 dose"
K0A,0.2886
K0B,0.2476
K0C,0.2685
K0E,0.2679
K0G,0.3134
K0H,0.3590
K0J,0.2977
K0K,0.2784
K0L,0.3374
K0M,0.3995
K1B,0.2500
K1C,0.3339
K1E,0.3400
K1G,0.2582
K1H,0.3673
K1J,0.2655
K1K,0.2579
K1L,0.2334
K1M,0.3667
K1N,0.2427
K1P,0.1611
K1R,0.2111
K1S,0.3222
K1T,0.2301
K1V,0.2588
K1W,0.2436
K1X,0.1617
K1Y,0.3107
K1Z,0.2490
K2A,0.3641
K2B,0.2543
K2C,0.2672
K2E,0.2917
K2G,0.2645
K2H,0.3429
K2J,0.2129
K2K,0.3091
K2L,0.3069
K2M,0.2509
K2P,0.2303
K2R,0.3562
K2S,0.2841
K2T,0.1861
K2V,0.1834
K2W,0.1955
K4A,0.2387
K4B,0.3213
K4C,0.3260
K4K,0.2686
K4M,0.3122
K4P,0.2790
K4R,0.2508
K6A,0.2685
K6H,0.2244
K6J,0.2375
K6K,0.2698
K6T,0.3528
K6V,0.3245
K7A,0.2533
K7C,0.2974
K7G,0.3508
K7H,0.3721
K7K,0.2708
K7L,0.3956
K7M,0.3650
K7N,0.3224
K7P,0.3279
K7R,0.3205
K7S,0.3148
K7V,0.2902
K8A,0.2872
K8B,0.3258
K8H,0.1711
K8N,0.3006
K8P,0.2580
K8R,0.2832
K8V,0.2216
K9A,0.3577
K9H,0.3027
K9J,0.3064
K9K,0.3642
K9L,0.3248
K9V,0.3472
L0A,0.2633
L0B,0.3498
L0C,0.3550
L0E,0.3001
L0G,0.2848
L0H,0.3591
L0J,0.3543
L0K,0.3187
L0L,0.3024
L0M,0.2165
L0N,0.3513
L0P,0.3340
L0R,0.2776
L0S,0.4007
L1A,0.3227
L1B,0.3777
L1C,0.2673
L1E,0.2780
L1G,0.3173
L1H,0.2569
L1J,0.2551
L1K,0.2365
L1L,0.1616
L1M,0.2656
L1N,0.3196
L1P,0.2301
L1R,0.2602
L1S,0.3347
L1T,0.2585
L1V,0.3401
L1W,0.3243
L1X,0.2691
L1Y,0.3518
L1Z,0.2075
L2A,0.2957
L2E,0.2734
L2G,0.2916
L2H,0.2710
L2J,0.3607
L2M,0.3002
L2N,0.3716
L2P,0.2451
L2R,0.2540
L2S,0.2823
L2T,0.3170
L2V,0.2536
L2W,0.3070
L3B,0.2544
L3C,0.3325
L3K,0.3214
L3M,0.3054
L3P,0.3392
L3R,0.2856
L3S,0.3233
L3T,0.3538
L3V,0.3250
L3X,0.2430
L3Y,0.3422
L3Z,0.2393
L4A,0.3009
L4B,0.2941
L4C,0.3130
L4E,0.2367
L4G,0.2958
L4H,0.2386
L4J,0.4307
L4K,0.3439
L4L,0.4072
L4M,0.2585
L4N,0.2418
L4P,0.2457
L4R,0.3593
L4S,0.2439
L4T,0.2125
L4W,0.3697
L4X,0.2559
