FSA,"% Vaccinated 1 dose"
K0A,0.2187
K0B,0.1919
K0C,0.2102
K0E,0.2055
K0G,0.2300
K0H,0.3032
K0J,0.2378
K0K,0.2227
K0L,0.2813
K0M,0.3107
K1B,0.2024
K1C,0.2736
K1E,0.2723
K1G,0.2094
K1H,0.3066
K1J,0.2160
K1K,0.2102
K1L,0.1913
K1M,0.3058
K1N,0.1943
K1P,0.1275
K1R,0.1609
K1S,0.2497
K1T,0.1828
K1V,0.2162
K1W,0.1958
K1X,0.1227
K1Y,0.2401
K1Z,0.1942
K2A,0.2969
K2B,0.2042
K2C,0.2160
K2E,0.2444
K2G,0.2093
K2H,0.2781
K2J,0.1637
K2K,0.2523
K2L,0.2419
K2M,0.1986
K2P,0.1851
K2R,0.2831
K2S,0.2214
K2T,0.1476
K2V,0.1402
K2W,0.1443
K4A,0.1873
K4B,0.2389
K4C,0.2680
K4K,0.2176
K4M,0.2465
K4P,0.2152
K4R,0.1859
K6A,0.2207
K6H,0.1802
K6J,0.1965
K6K,0.2218
K6T,0.2737
K6V,0.2614
K7A,0.1896
K7C,0.2293
K7G,0.3061
K7H,0.2789
K7K,0.2391
K7L,0.3583
K7M,0.3258
K7N,0.2817
K7P,0.2905
K7R,0.2770
K7S,0.2419
K7V,0.2295
K8A,0.2255
K8B,0.2254
K8H,0.1308
K8N,0.2480
K8P,0.2138
K8R,0.2379
K8V,0.1765
K9A,0.2937
K9H,0.2663
K9J,0.2677
K9K,0.3178
K9L,0.2862
K9V,0.2922
L0A,0.2198
L0B,0.2897
L0C,0.2869
L0E,0.2530
L0G,0.2233
L0H,0.2966
L0J,0.2728
L0K,0.2584
L0L,0.2416
L0M,0.1708
L0N,0.2943
L0P,0.2682
L0R,0.2296
L0S,0.3272
L1A,0.2626
L1B,0.3341
L1C,0.2233
L1E,0.2303
L1G,0.2795
L1H,0.2199
L1J,0.2193
L1K,0.2003
L1L,0.1323
L1M,0.2075
L1N,0.2780
L1P,0.1872
L1R,0.2174
L1S,0.2671
L1T,0.2022
L1V,0.2754
L1W,0.2673
L1X,0.2136
L1Y,0.2889
L1Z,0.1563
L2A,0.2413
L2E,0.2206
L2G,0.2193
