GEO_NAME,Vaccination_Pharmacies,Vaccination_Sites_Per_100000
K0A,8,7.73
K0B,0,0
K0C,1,1.92
K0E,2,5.14
K0G,7,18.87
K0H,6,13.63
K0J,3,8.9
K0K,5,4.49
K0L,4,5.61
K0M,7,14.17
K1B,1,5.84
K1C,5,13.28
K1E,0,0
K1G,2,5.87
K1H,4,25.32
K1J,4,14.85
K1K,3,10.17
K1L,1,5.88
K1M,0,0
K1N,1,3.99
K1P,1,294.12
K1R,0,0
K1S,4,13.96
K1T,3,8.47
K1V,18,32.83
K1W,1,9.97
K1X,0,0
K1Y,0,0
K1Z,4,19.06
K2A,3,17.87
K2B,4,12.4
K2C,3,10.74
K2E,2,10.51
K2G,3,6.09
K2H,4,15.15
K2J,9,13.05
K2K,2,8.19
K2L,3,15.66
K2M,3,11.1
K2P,2,11.36
K2R,0,0
K2S,6,18.71
K2T,1,10.59
K2V,1,41.07
K2W,1,11.55
K4A,6,11
K4B,1,20.86
K4C,0,0
K4K,1,6.51
K4M,2,18.17
K4P,0,0
K4R,0,0
K6A,1,7.98
K6H,1,3.23
K6J,1,5.67
K6K,0,0
K6T,0,0
K6V,4,14.4
K7A,3,18.04
K7C,2,11.32
K7G,1,12.05
K7H,3,19.99
K7K,7,22.14
K7L,12,67.61
K7M,10,20.97
K7N,3,37.97
K7P,5,23.09
K7R,4,27.77
K7S,3,23.1
K7V,3,22.32
K8A,4,15.52
K8B,0,0
K8H,2,13.15
K8N,4,14.05
K8P,4,18.79
K8R,0,0
K8V,4,14.71
K9A,3,11.68
K9H,2,6.99
K9J,2,4.65
K9K,0,0
K9L,0,0
K9V,5,18.01
L0A,0,0
L0B,1,6.6
L0C,1,10.62
L0E,2,9.76
L0G,3,7.52
L0H,0,0
L0J,0,0
L0K,3,8.64
L0L,2,4.26
L0M,1,2.79
L0N,0,0
L0P,1,11.71
L0R,6,6.12
L0S,7,12.67
L1A,3,19.6
L1B,2,16.7
L1C,5,11.49
L1E,3,11.06
L1G,3,7.3
L1H,6,19.19
L1J,7,16.75
L1K,2,5.04
L1L,0,0
L1M,1,4.57
L1N,3,6.31
L1P,1,5.72
L1R,4,9.93
L1S,6,14.75
L1T,7,13.85
L1V,10,19.26
L1W,1,5.87
L1X,1,5.13
L1Y,0,0
L1Z,3,10.55
L2A,2,12.1
L2E,2,9.54
L2G,4,15.33
L2H,3,11.71
L2J,1,6.91
L2M,2,6.11
L2N,0,0
L2P,0,0
L2R,2,8.16
L2S,1,5.26
L2T,3,28.08
L2V,0,0
L2W,0,0
L3B,1,4.35
L3C,3,9.47
L3K,1,5.49
L3M,3,11.18
L3P,4,10.59
L3R,9,14.45
L3S,5,8.91
L3T,7,13.82
L3V,4,8.91
L3X,2,4.73
L3Y,12,26.99
L3Z,9,26.73
L4A,8,18.97
L4B,4,11.16
L4C,10,14.05
L4E,5,9.58
L4G,11,19.84
L4H,11,16.09
L4J,8,10.36
L4K,4,25.66
L4L,8,14.74
L4M,8,17.39
L4N,6,6.08
L4P,5,17.29
L4R,3,16.53
L4S,5,13.97
L4T,3,7.8
L4V,0,0
L4W,2,9.63
L4X,3,15.31
L4Y,7,29.42
L4Z,1,2.62
L5A,3,6.27
L5B,8,12.62
L5C,4,13.47
L5E,1,7.85
L5G,4,19.8
L5H,2,11.36
L5J,3,10.68
L5K,3,21.48
L5L,7,15.6
L5M,10,9.54
L5N,10,11.79
L5R,5,13.47
L5V,5,9.84
L5W,1,4.02
L6A,9,10.49
L6B,4,13.6
L6C,2,3.93
L6E,5,13.75
L6G,1,18.62
L6H,9,14.78
L6J,5,20.27
L6K,2,15.37
L6L,3,10.09
L6M,5,7.63
L6P,5,6.08
L6R,12,13.64
L6S,3,5.63
L6T,8,20.81
L6V,5,11.95
L6W,4,18.08
L6X,3,4.47
L6Y,11,12.55
L6Z,4,12.21
L7A,6,7.48
L7B,2,13.46
L7C,2,8.12
L7E,5,14.73
L7G,8,17.37
L7J,2,14.67
L7K,0,0
L7L,8,17.11
L7M,5,10.43
L7N,0,0
L7P,7,23.57
L7R,4,25.21
L7S,0,0
L7T,2,11.28
L8E,4,10.15
L8G,2,9.28
L8H,2,7.72
L8J,1,4.1
L8K,1,3.18
L8L,3,9.73
L8M,0,0
L8N,2,14.47
L8P,3,13.2
L8R,0,0
L8S,2,13.98
L8T,1,5.25
L8V,1,4.72
L8W,6,23.26
