GEO_CODE (POR),GEO_NAME,dimension,Member ID: Profile of Economic Regions (2247),total
2475,Saguenay--Lac-Saint-Jean,"Population, 2016",1,276368.00
2475,Saguenay--Lac-Saint-Jean,"Population, 2011",2,274880.00
2475,Saguenay--Lac-Saint-Jean,"Population percentage change, 2011 to 2016",3,0.50
2475,Saguenay--Lac-Saint-Jean,Total private dwellings,4,135684.00
2475,Saguenay--Lac-Saint-Jean,Private dwellings occupied by usual residents,5,122794.00
2475,Saguenay--Lac-Saint-Jean,Population density per square kilometre,6,2.80
2475,Saguenay--Lac-Saint-Jean,Land area in square kilometres,7,98712.71
2475,Saguenay--Lac-Saint-Jean,Total - Age groups and average age of the population - 100% data,8,276370.00
2475,Saguenay--Lac-Saint-Jean,0 to 14 years,9,42590.00
2475,Saguenay--Lac-Saint-Jean,0 to 4 years,10,14025.00
2475,Saguenay--Lac-Saint-Jean,5 to 9 years,11,15015.00
2475,Saguenay--Lac-Saint-Jean,10 to 14 years,12,13550.00
2475,Saguenay--Lac-Saint-Jean,15 to 64 years,13,176200.00
2475,Saguenay--Lac-Saint-Jean,15 to 19 years,14,13645.00
2475,Saguenay--Lac-Saint-Jean,20 to 24 years,15,14845.00
2475,Saguenay--Lac-Saint-Jean,25 to 29 years,16,14485.00
2475,Saguenay--Lac-Saint-Jean,30 to 34 years,17,16115.00
2475,Saguenay--Lac-Saint-Jean,35 to 39 years,18,17215.00
2475,Saguenay--Lac-Saint-Jean,40 to 44 years,19,14580.00
2475,Saguenay--Lac-Saint-Jean,45 to 49 years,20,14660.00
2475,Saguenay--Lac-Saint-Jean,50 to 54 years,21,21765.00
2475,Saguenay--Lac-Saint-Jean,55 to 59 years,22,25715.00
2475,Saguenay--Lac-Saint-Jean,60 to 64 years,23,23170.00
2475,Saguenay--Lac-Saint-Jean,65 years and over,24,57575.00
2475,Saguenay--Lac-Saint-Jean,65 to 69 years,25,19250.00
2475,Saguenay--Lac-Saint-Jean,70 to 74 years,26,14475.00
2475,Saguenay--Lac-Saint-Jean,75 to 79 years,27,9935.00
2475,Saguenay--Lac-Saint-Jean,80 to 84 years,28,7270.00
2475,Saguenay--Lac-Saint-Jean,85 years and over,29,6640.00
2475,Saguenay--Lac-Saint-Jean,85 to 89 years,30,4460.00
2475,Saguenay--Lac-Saint-Jean,90 to 94 years,31,1795.00
2475,Saguenay--Lac-Saint-Jean,95 to 99 years,32,335.00
2475,Saguenay--Lac-Saint-Jean,100 years and over,33,45.00
2475,Saguenay--Lac-Saint-Jean,Total - Distribution (%) of the population by broad age groups - 100% data,34,100.00
2475,Saguenay--Lac-Saint-Jean,0 to 14 years,35,15.40
2475,Saguenay--Lac-Saint-Jean,15 to 64 years,36,63.80
2475,Saguenay--Lac-Saint-Jean,65 years and over,37,20.80
2475,Saguenay--Lac-Saint-Jean,85 years and over,38,2.40
2475,Saguenay--Lac-Saint-Jean,Average age of the population,39,44.00
2475,Saguenay--Lac-Saint-Jean,Median age of the population,40,46.60
2475,Saguenay--Lac-Saint-Jean,Total - Occupied private dwellings by structural type of dwelling - 100% data,41,122795.00
2475,Saguenay--Lac-Saint-Jean,Single-detached house,42,69205.00
2475,Saguenay--Lac-Saint-Jean,Apartment in a building that has five or more storeys,43,1235.00
2475,Saguenay--Lac-Saint-Jean,Other attached dwelling,44,51110.00
2475,Saguenay--Lac-Saint-Jean,Semi-detached house,45,8060.00
2475,Saguenay--Lac-Saint-Jean,Row house,46,2240.00
2475,Saguenay--Lac-Saint-Jean,Apartment or flat in a duplex,47,14415.00
2475,Saguenay--Lac-Saint-Jean,Apartment in a building that has fewer than five storeys,48,25720.00
2475,Saguenay--Lac-Saint-Jean,Other single-attached house,49,685.00
2475,Saguenay--Lac-Saint-Jean,Movable dwelling,50,1240.00
2475,Saguenay--Lac-Saint-Jean,Total - Private households by household size - 100% data,51,122790.00
2475,Saguenay--Lac-Saint-Jean,1 person,52,39415.00
2475,Saguenay--Lac-Saint-Jean,2 persons,53,48310.00
2475,Saguenay--Lac-Saint-Jean,3 persons,54,15735.00
2475,Saguenay--Lac-Saint-Jean,4 persons,55,13165.00
2475,Saguenay--Lac-Saint-Jean,5 or more persons,56,6165.00
2475,Saguenay--Lac-Saint-Jean,Number of persons in private households,57,268870.00
2475,Saguenay--Lac-Saint-Jean,Average household size,58,2.20
2475,Saguenay--Lac-Saint-Jean,Total - Marital status for the population aged 15 years and over - 100% data,59,233780.00
2475,Saguenay--Lac-Saint-Jean,Married or living common law,60,142400.00
2475,Saguenay--Lac-Saint-Jean,Married,61,82505.00
2475,Saguenay--Lac-Saint-Jean,Living common law,62,59895.00
2475,Saguenay--Lac-Saint-Jean,Not married and not living common law,63,91375.00
2475,Saguenay--Lac-Saint-Jean,Never married,64,58230.00
2475,Saguenay--Lac-Saint-Jean,Separated,65,2940.00
2475,Saguenay--Lac-Saint-Jean,Divorced,66,15175.00
2475,Saguenay--Lac-Saint-Jean,Widowed,67,15035.00
2475,Saguenay--Lac-Saint-Jean,Total - Census families in private households by family size - 100% data,68,80750.00
2475,Saguenay--Lac-Saint-Jean,2 persons,69,47630.00
2475,Saguenay--Lac-Saint-Jean,3 persons,70,14965.00
2475,Saguenay--Lac-Saint-Jean,4 persons,71,12720.00
2475,Saguenay--Lac-Saint-Jean,5 or more persons,72,5425.00
2475,Saguenay--Lac-Saint-Jean,Average size of census families,73,2.70
2475,Saguenay--Lac-Saint-Jean,Total number of census families in private households - 100% data,74,80750.00
2475,Saguenay--Lac-Saint-Jean,Total couple families,75,70000.00
2475,Saguenay--Lac-Saint-Jean,Married couples,76,40075.00
2475,Saguenay--Lac-Saint-Jean,Common-law couples,77,29925.00
2475,Saguenay--Lac-Saint-Jean,Total lone-parent families by sex of parent,78,10750.00
2475,Saguenay--Lac-Saint-Jean,Female parent,79,7755.00
2475,Saguenay--Lac-Saint-Jean,Male parent,80,2995.00
2475,Saguenay--Lac-Saint-Jean,Total - Couple census families in private households - 100% data,81,70000.00
2475,Saguenay--Lac-Saint-Jean,Couples without children,82,40945.00
2475,Saguenay--Lac-Saint-Jean,Couples with children,83,29055.00
2475,Saguenay--Lac-Saint-Jean,1 child,84,11825.00
2475,Saguenay--Lac-Saint-Jean,2 children,85,11945.00
2475,Saguenay--Lac-Saint-Jean,3 or more children,86,5285.00
2475,Saguenay--Lac-Saint-Jean,Total - Lone-parent census families in private households - 100% data,87,10750.00
2475,Saguenay--Lac-Saint-Jean,1 child,88,6685.00
2475,Saguenay--Lac-Saint-Jean,2 children,89,3140.00
2475,Saguenay--Lac-Saint-Jean,3 or more children,90,920.00
